title,content,vote,comment
 3극초반인데 로스쿨 불가능한가요 , 리트130.. 토익만점 나이29 남자 무정성 , 0 , 3 
 아래 로스쿨 학점 얘기 나왔는데 , 3.6으로는 불가일까요. 앞으로 한학기 남아서 유지해야 이정돈데ㅜ , 0 , 2 
 교육사회 , 학점나왓다 ! 꿀강이랬는데 생각보다 아닌 것 같네.. 다들 잘 받았어? , 0 , 3 
 도미시 성적 잘나왔어? , 다들 점수 후하게 주셨다고 하는데.. 좀만 더 열심히 해서 A+ 받을걸 , 0 , 0 
 상평처럼 받은건 패스 때려버릴까 , 전공 비쁠인데 뭔가 안고 가기 좀 그렇다.. A들 사이에서 B 있는게 , 0 , 0 
 로스쿨 학점 , 3.8로는 불가능한가요ㅜ , 0 , 5 
 로스쿨가고싶은데 , 에마부터 패스해야될까요...? , 0 , 1 
 레이실 기말대체과제 미친거 아니냐 ," 한 학기 내내 수업, 공지, 오픈톡, 서강톡, 질의응답 뭐 하나 대답해준 것도 없이 갑자기 나타나서 '일이 있었습니다'하면서 기말대체과제는 인터 ", 1 , 2 
 우리학교 강평 ," 마감기한같은거 있어? 성적뜨기전에 강평하기 싫어서,, ", 0 , 7 
 하 반응공학 , 다들 준비 잘 하고 있냐...... , 0 , 3 
 법행이 A+ 있니? , 법행 A+ 받은 사람~~~!? , 0 , 1 
 ㅇㅅㄱ 교수님 경정시 성적 나왔네요 , 논문 열심히 쓴 보람있게 성적 나왔는데 다른 분들은 어떤가요?? 쁠몰이신지 궁금하네요! , 0 , 2 
 나 학점 거의다 상평대로 받았는데.. , 나뿐임? 이런사람 , 0 , 3 
 다이어트 , 3-4일 만에 3kg 이상 빼 본 사람? 어떻게 뺐어? , 0 , 20 
 최장호 인자관 A+있어?? , 점수랑 분포 다 안알려주셔서 너무 답답하다 , 0 , 1 
 나 교수님들 한테 왕따 당하는 듯 , 아니면 시험 본지 2주가 넘었는데 성적이 하나도 안 나올리가 없음 나 빼고 다 알려주고 나만 따시키는듯ㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂ , 0 , 1 
" 하드락, 헤비메탈 ", 얘들도 우리나라 메인스트림 됐음 좋겠다 , 2 , 4 
 조직행동이론 패스 결정도와줘 , B-  패스할까말까? 이게 재수강할만큼 중요한 과목인가? , 0 , 10 
 아패 에어3 , 지금 6개월 썼는데 중고로 얼마가능? , 0 , 6 
 공학수학1 학점 몇부터 패쓰??? , 쓰니는 B0 맞았는데 패쓰가 맞을깡... , 0 , 3 
 패논패 ," A+,B0두개 남기고 다 패스할까?아님 A+만 남기고 다 패스할까 ", 0 , 5 
 방학 때 뭐할거야? , 다들 이제 방학인데 계획있어? , 0 , 2 
